date,close,high,low,open,volume
2025-10-01,32.529998779296875,33.459999084472656,24.5,25.1299991607666,41146500.0
2025-10-02,28.780000686645508,36.9900016784668,27.389999389648438,36.09000015258789,23635600.0
2025-10-03,28.600000381469727,31.549999237060547,27.799999237060547,30.010000228881836,10265200.0
2025-10-06,26.350000381469727,29.290000915527344,25.8700008392334,28.649999618530273,7894800.0
2025-10-07,28.170000076293945,28.25,24.299999237060547,25.690000534057617,7702600.0
2025-10-08,26.84000015258789,28.670000076293945,26.270000457763672,27.3700008392334,5094200.0
2025-10-09,26.770000457763672,27.841999053955078,26.049999237060547,27.149999618530273,3276300.0
2025-10-10,29.079999923706055,30.0,26.469999313354492,27.0,8334000.0
2025-10-13,30.010000228881836,32.38999938964844,27.799999237060547,28.110000610351562,6030800.0
2025-10-14,29.59000015258789,30.54800033569336,28.079999923706055,29.110000610351562,2969400.0
2025-10-15,28.5,31.0,27.799999237060547,30.889999389648438,4336600.0
2025-10-16,29.65999984741211,31.469999313354492,28.0,28.5,3812700.0
2025-10-17,27.0,28.704999923706055,26.709999084472656,28.56999969482422,3402700.0
2025-10-20,25.389999389648438,28.0,24.100000381469727,27.600000381469727,5350200.0
2025-10-21,21.709999084472656,24.80500030517578,21.260000228881836,24.7549991607666,6397700.0
2025-10-22,19.889999389648438,23.100000381469727,18.700000762939453,21.850000381469727,7742000.0
2025-10-23,19.84000015258789,21.639999389648438,18.899999618530273,19.969999313354492,3934100.0
2025-10-24,23.540000915527344,23.989999771118164,20.770000457763672,20.84000015258789,5343500.0
2025-10-27,23.829999923706055,25.649999618530273,23.0,25.520000457763672,5154400.0
2025-10-28,29.860000610351562,30.899999618530273,25.489999771118164,25.649999618530273,11150600.0
2025-10-29,28.709999084472656,29.829999923706055,27.920000076293945,28.514999389648438,4110600.0
2025-10-30,27.389999389648438,28.690000534057617,25.5,28.68000030517578,3727700.0
2025-10-31,26.209999084472656,30.020000457763672,26.110000610351562,27.760000228881836,3048200.0
2025-11-03,27.950000762939453,29.309999465942383,27.18000030517578,27.579999923706055,2790900.0
2025-11-04,26.6200008392334,28.25,24.75,26.454999923706055,3284900.0
2025-11-05,26.450000762939453,28.899999618530273,25.700000762939453,27.540000915527344,3079800.0
2025-11-06,25.639999389648438,27.075000762939453,24.729999542236328,27.0,2581600.0
2025-11-07,24.350000381469727,24.809999465942383,22.780000686645508,24.790000915527344,3507700.0
2025-11-10,25.309999465942383,25.697999954223633,23.895000457763672,24.600000381469727,3858600.0
2025-11-11,21.90999984741211,23.75,21.600000381469727,23.75,3969400.0
2025-11-12,21.760000228881836,22.3700008392334,21.165000915527344,22.309999465942383,3682800.0
2025-11-13,17.5,21.739999771118164,17.19499969482422,21.649999618530273,9755200.0
2025-11-14,18.290000915527344,18.52899932861328,16.299999237060547,17.200000762939453,5211000.0
2025-11-17,18.350000381469727,19.0,16.934999465942383,18.040000915527344,4016900.0
2025-11-18,18.360000610351562,19.219999313354492,16.770000457763672,17.594999313354492,3841400.0
2025-11-19,16.90999984741211,18.760000228881836,16.700000762939453,18.360000610351562,4170500.0
2025-11-20,15.40999984741211,18.049999237060547,15.359999656677246,17.959999084472656,4448100.0
2025-11-21,14.34000015258789,15.899999618530273,13.640000343322754,15.84000015258789,6713200.0
2025-11-24,14.460000038146973,14.914999961853027,12.875,13.84000015258789,5515500.0
2025-11-25,14.104999542236328,15.039999961853027,13.399999618530273,14.59000015258789,3581400.0
2025-11-26,15.8100004196167,16.049999237060547,14.010000228881836,14.140000343322754,4262200.0
2025-11-28,16.489999771118164,16.889999389648438,16.049999237060547,16.15999984741211,2739000.0
2025-12-01,16.450000762939453,16.75,15.359999656677246,16.299999237060547,4204900.0
2025-12-02,15.229999542236328,16.600000381469727,15.199999809265137,16.420000076293945,3076200.0
2025-12-03,14.65999984741211,15.220000267028809,14.109999656677246,15.079999923706055,3595100.0
2025-12-04,15.90999984741211,16.65999984741211,14.25,14.619999885559082,4023600.0
2025-12-05,15.15999984741211,16.054000854492188,14.699999809265137,15.779999732971191,2975300.0
2025-12-08,15.680000305175781,16.40999984741211,15.135000228881836,15.149999618530273,3536100.0
2025-12-09,16.15999984741211,16.65999984741211,15.364999771118164,15.550000190734863,2531900.0
2025-12-10,15.380000114440918,16.045000076293945,14.928000450134277,16.030000686645508,2697400.0
2025-12-11,15.25,15.699999809265137,13.90999984741211,15.005000114440918,3615900.0
2025-12-12,10.09000015258789,10.880000114440918,8.300000190734863,9.199999809265137,63336200.0
2025-12-15,8.59000015258789,10.244999885559082,8.425000190734863,10.229999542236328,12226400.0
2025-12-16,9.739999771118164,10.067999839782715,8.699999809265137,8.789999961853027,10465500.0
2025-12-17,9.0600004196167,10.0,8.664999961853027,9.869999885559082,6952300.0
2025-12-18,8.220000267028809,9.329999923706055,8.180000305175781,9.3149995803833,10787000.0
2025-12-19,8.4399995803833,8.616000175476074,8.020000457763672,8.420000076293945,8795200.0
2025-12-22,8.880000114440918,9.319999694824219,8.479999542236328,8.489999771118164,5183600.0
2025-12-23,8.25,8.746000289916992,8.239999771118164,8.6899995803833,4501200.0
2025-12-24,7.920000076293945,8.25,7.829999923706055,8.25,4458200.0
2025-12-26,7.619999885559082,7.960000038146973,7.514999866485596,7.949999809265137,5569700.0
2025-12-29,7.519999980926514,7.849999904632568,7.28000020980835,7.449999809265137,5435600.0
2025-12-30,8.09000015258789,8.300000190734863,7.583000183105469,7.585000038146973,5877200.0
2025-12-31,8.0,8.260000228881836,7.849999904632568,8.015000343322754,5030900.0
2026-01-02,8.819999694824219,9.220000267028809,8.020000457763672,8.09000015258789,9665100.0
2026-01-05,8.680000305175781,9.229999542236328,8.369999885559082,9.100000381469727,10019900.0
2026-01-06,9.5,9.720000267028809,8.630000114440918,8.779999732971191,8919500.0
2026-01-07,8.539999961853027,9.390000343322754,8.369999885559082,9.390000343322754,10061500.0
2026-01-08,8.829999923706055,9.125,8.239999771118164,8.5,9295500.0
2026-01-09,9.180000305175781,9.739999771118164,9.149999618530273,9.194999694824219,8261300.0
2026-01-12,10.369999885559082,10.569999694824219,8.949999809265137,9.210000038146973,9600000.0
2026-01-13,10.3100004196167,10.420000076293945,9.949999809265137,10.324999809265137,6209600.0
2026-01-14,9.710000038146973,10.25,9.300000190734863,10.225000381469727,6073200.0
2026-01-15,9.6899995803833,10.059000015258789,9.5,9.819999694824219,5537300.0
2026-01-16,10.125,10.449999809265137,9.670999526977539,9.90999984741211,5624500.0
2026-01-20,9.220000267028809,9.9399995803833,9.180000305175781,9.71500015258789,6040600.0
2026-01-21,9.039999961853027,10.269000053405762,8.6899995803833,9.479999542236328,6959900.0
2026-01-22,9.199999809265137,9.449999809265137,8.8100004196167,9.140000343322754,6279800.0
2026-01-23,9.800000190734863,10.199999809265137,8.895000457763672,9.199999809265137,6678300.0
2026-01-26,9.210000038146973,9.75,9.100000381469727,9.664999961853027,5267100.0
2026-01-27,9.59000015258789,9.819999694824219,9.25,9.270000457763672,3453000.0
2026-01-28,9.960000038146973,10.149999618530273,9.369999885559082,9.600000381469727,5108300.0
2026-01-29,9.699999809265137,9.899999618530273,9.380000114440918,9.859999656677246,4388300.0
2026-01-30,8.720000267028809,9.739999771118164,8.710000038146973,9.449999809265137,5365000.0
2026-02-02,8.239999771118164,8.90999984741211,8.125,8.710000038146973,5348200.0
2026-02-03,8.520000457763672,8.579999923706055,8.010000228881836,8.239999771118164,5384000.0
2026-02-04,8.180000305175781,8.630000114440918,7.840000152587891,8.630000114440918,5355300.0
2026-02-05,7.199999809265137,8.079999923706055,7.179999828338623,7.920000076293945,5874300.0
2026-02-06,8.0,8.0600004196167,7.269999980926514,7.420000076293945,4731900.0
2026-02-09,8.6899995803833,8.84000015258789,7.929999828338623,8.130000114440918,5078300.0
2026-02-10,9.399999618530273,9.470000267028809,8.430000305175781,8.630000114440918,8865200.0
2026-02-11,9.520000457763672,10.199999809265137,9.244999885559082,9.819999694824219,8951700.0
2026-02-12,9.260000228881836,9.913000106811523,9.015000343322754,9.819999694824219,6875500.0
2026-02-13,10.289999961853027,10.59000015258789,9.130000114440918,9.170000076293945,11382600.0
2026-02-17,9.609999656677246,10.083000183105469,9.229999542236328,10.050000190734863,7402500.0
2026-02-18,9.359999656677246,9.699999809265137,9.149999618530273,9.609999656677246,4977900.0
2026-02-19,9.5600004196167,9.579999923706055,9.0,9.229999542236328,3753400.0
2026-02-20,9.119999885559082,9.619999885559082,9.041000366210938,9.489999771118164,5392000.0
2026-02-23,8.979999542236328,9.34000015258789,8.75,8.960000038146973,4267500.0
2026-02-24,10.050000190734863,10.75,8.609999656677246,8.795000076293945,12929800.0
2026-02-25,11.789999961853027,12.050000190734863,9.8100004196167,10.1899995803833,17903000.0
2026-02-26,10.850000381469727,11.682000160217285,10.5,11.59000015258789,8624100.0
2026-02-27,9.970000267028809,10.600000381469727,9.680000305175781,10.59000015258789,7595400.0
2026-03-02,10.210000038146973,10.289999961853027,9.680000305175781,9.760000228881836,4532500.0
2026-03-03,9.270000457763672,9.850000381469727,8.859999656677246,9.800000190734863,6920800.0
2026-03-04,9.039999961853027,9.470000267028809,8.960000038146973,9.470000267028809,6818700.0
2026-03-05,8.579999923706055,9.260000228881836,8.25,9.079999923706055,8662600.0
